sample_id,defense,detection_threshold,accepted_after_attack,is_attack_detected,n_squeezers_detected,max_sim_diff,risk_score_add,lr_sim_original,lr_sim_squeezed,lr_sim_diff,lr_detected,cd_sim_original,cd_sim_squeezed,cd_sim_diff,cd_detected,mf_sim_original,mf_sim_squeezed,mf_sim_diff,mf_detected,defense_time_sec
vf_189241d1fe52,feature_squeezing,0.05,False,True,2,0.10163796,20,0.37350142,0.29165801,0.08184341,True,0.37350142,0.35469019,0.01881123,False,0.37350142,0.27186346,0.10163796,True,0.334901
vf_5eefde1bcecb,feature_squeezing,0.05,False,True,3,0.27285774,30,0.39909858,0.12624083,0.27285774,True,0.39909858,0.31027871,0.08881986,True,0.39909858,0.33061093,0.06848764,True,0.33307
vf_c563ee357bd2,feature_squeezing,0.05,True,True,3,0.42784905,30,0.51734263,0.08949357,0.42784905,True,0.51734263,0.46645704,0.05088559,True,0.51734263,0.45942876,0.05791387,True,0.339406
vf_695ced84ba67,feature_squeezing,0.05,True,True,2,0.44007133,20,0.68722934,0.24715801,0.44007133,True,0.68722934,0.64189267,0.04533666,False,0.68722934,0.62617534,0.06105399,True,0.361191
vf_fe96e4dc637f,feature_squeezing,0.05,True,True,2,0.52448547,20,0.64093357,0.1164481,0.52448547,True,0.64093357,0.59529364,0.04563993,False,0.64093357,0.55124855,0.08968502,True,0.406209
vf_a067ba70aba2,feature_squeezing,0.05,False,True,2,0.32350616,20,0.3681502,0.04464404,0.32350616,True,0.3681502,0.2673676,0.1007826,True,0.3681502,0.32242808,0.04572213,False,0.364469
vf_c99f6339f4b2,feature_squeezing,0.05,True,True,3,0.31032872,30,0.75582576,0.44549704,0.31032872,True,0.75582576,0.67773461,0.07809114,True,0.75582576,0.67530817,0.08051759,True,0.35432
vf_8adc8a6b5049,feature_squeezing,0.05,True,True,3,0.28294402,30,0.64851952,0.36557549,0.28294402,True,0.64851952,0.59318119,0.05533832,True,0.64851952,0.580562,0.06795752,True,0.348648
vf_f00d3e666fd4,feature_squeezing,0.05,False,True,2,0.24958789,20,0.35518622,0.10559834,0.24958789,True,0.35518622,0.32306185,0.03212437,False,0.35518622,0.29015702,0.0650292,True,0.365158
vf_1c39a9c85e88,feature_squeezing,0.05,True,True,3,0.29587024,30,0.68728435,0.39141411,0.29587024,True,0.68728435,0.56701773,0.12026662,True,0.68728435,0.60963857,0.07764578,True,0.364599
vf_f81d7e10cf7e,feature_squeezing,0.05,True,True,3,0.60102167,30,0.54272401,-0.05829765,0.60102167,True,0.54272401,0.45843172,0.08429229,True,0.54272401,0.46428883,0.07843518,True,0.378428
vf_ed0789be4f11,feature_squeezing,0.05,True,True,3,0.28809091,30,0.54841822,0.26032731,0.28809091,True,0.54841822,0.46601748,0.08240074,True,0.54841822,0.47548193,0.0729363,True,0.366641
vf_ab989c444985,feature_squeezing,0.05,True,True,3,0.60542866,30,0.70715392,0.10172526,0.60542866,True,0.70715392,0.63569069,0.07146323,True,0.70715392,0.61894697,0.08820695,True,0.375044
vf_d78ccb964c5d,feature_squeezing,0.05,True,True,1,0.33077911,10,0.60361546,0.27283636,0.33077911,True,0.60361546,0.55399203,0.04962343,False,0.60361546,0.55805832,0.04555714,False,0.362826
vf_005a59c31dd2,feature_squeezing,0.05,False,True,3,0.24725656,30,0.43157098,0.18431441,0.24725656,True,0.43157098,0.36396903,0.06760195,True,0.43157098,0.3593508,0.07222018,True,0.36181
vf_0a3f1a68dcb2,feature_squeezing,0.05,True,True,2,0.8152812,20,0.64810842,-0.16717277,0.8152812,True,0.64810842,0.61671668,0.03139174,False,0.64810842,0.55791944,0.09018898,True,0.370871
vf_d5c09a946d99,feature_squeezing,0.05,True,True,3,0.49427658,30,0.5710457,0.07676911,0.49427658,True,0.5710457,0.46113718,0.10990852,True,0.5710457,0.49419284,0.07685286,True,0.354453
vf_df4a6b5a2944,feature_squeezing,0.05,True,True,2,0.21648455,20,0.51019263,0.29370809,0.21648455,True,0.51019263,0.44321483,0.0669778,True,0.51019263,0.46790752,0.04228511,False,0.383861
vf_55221d8a3d2e,feature_squeezing,0.05,True,True,3,0.44801304,30,0.50362885,0.05561581,0.44801304,True,0.50362885,0.40841293,0.09521592,True,0.50362885,0.448311,0.05531785,True,0.380126
vf_28b6df51a2aa,feature_squeezing,0.05,True,True,2,0.43477982,20,0.79111671,0.35633689,0.43477982,True,0.79111671,0.74839449,0.04272223,False,0.79111671,0.70015025,0.09096646,True,0.344489
vf_ae41a277e9a0,feature_squeezing,0.05,True,True,2,0.37896872,20,0.49264327,0.11367455,0.37896872,True,0.49264327,0.45012635,0.04251692,False,0.49264327,0.40043753,0.09220573,True,0.352739
vf_dbdb717f5df6,feature_squeezing,0.05,True,True,3,0.70585131,30,0.65513808,-0.05071323,0.70585131,True,0.65513808,0.55706155,0.09807652,True,0.65513808,0.4892388,0.16589928,True,0.36386
vf_d5f84f559f80,feature_squeezing,0.05,True,True,1,0.22694457,10,0.60476285,0.37781829,0.22694457,True,0.60476285,0.58050615,0.02425671,False,0.60476285,0.56426001,0.04050285,False,0.341346
vf_a732bd6e8c7c,feature_squeezing,0.05,True,True,2,0.43191451,20,0.64980322,0.21788871,0.43191451,True,0.64980322,0.60341328,0.04638994,False,0.64980322,0.57247037,0.07733285,True,0.363853
vf_543c2289bc82,feature_squeezing,0.05,True,True,2,0.85764508,20,0.63414782,-0.22349726,0.85764508,True,0.63414782,0.58607417,0.04807365,False,0.63414782,0.53500801,0.09913981,True,0.360589
vf_1da9500923a0,feature_squeezing,0.05,True,True,3,0.54783232,30,0.53175527,-0.01607705,0.54783232,True,0.53175527,0.45791104,0.07384422,True,0.53175527,0.44828179,0.08347347,True,0.338445
vf_e22515667bcb,feature_squeezing,0.05,True,True,2,0.22314203,20,0.54738182,0.32423979,0.22314203,True,0.54738182,0.52644986,0.02093196,False,0.54738182,0.48583162,0.0615502,True,0.34711
vf_4a34c041687a,feature_squeezing,0.05,True,True,3,0.30667762,30,0.48719561,0.18051799,0.30667762,True,0.48719561,0.3960095,0.09118611,True,0.48719561,0.35138774,0.13580787,True,0.377211
vf_b6ab7e6f8ead,feature_squeezing,0.05,True,True,1,0.49160046,10,0.53262955,0.04102909,0.49160046,True,0.53262955,0.50664198,0.02598757,False,0.53262955,0.48611888,0.04651067,False,0.40378
vf_a96c278b9663,feature_squeezing,0.05,True,True,2,0.37739405,20,0.62790024,0.25050619,0.37739405,True,0.62790024,0.59300029,0.03489995,False,0.62790024,0.55289662,0.07500362,True,0.349619
vf_a8d0dc97dd40,feature_squeezing,0.05,True,True,3,0.50698319,30,0.8707397,0.36375651,0.50698319,True,0.8707397,0.82002407,0.05071563,True,0.8707397,0.81340742,0.05733228,True,0.34738
vf_d5f53c32936c,feature_squeezing,0.05,True,True,3,0.6448967,30,0.59837377,-0.04652293,0.6448967,True,0.59837377,0.53745306,0.06092072,True,0.59837377,0.51834887,0.0800249,True,0.350394
vf_23dba30d5fa4,feature_squeezing,0.05,True,True,2,0.43820602,20,0.72498983,0.28678381,0.43820602,True,0.72498983,0.71332574,0.01166409,False,0.72498983,0.63930148,0.08568835,True,0.355809
vf_f8cbca7fab7c,feature_squeezing,0.05,True,True,2,0.60805917,20,0.55340886,-0.05465031,0.60805917,True,0.55340886,0.50022382,0.05318505,True,0.55340886,0.51742238,0.03598648,False,0.346473
vf_aa28d8c1c38b,feature_squeezing,0.05,True,True,3,0.40152584,30,0.5675382,0.16601236,0.40152584,True,0.5675382,0.50269568,0.06484252,True,0.5675382,0.47678319,0.09075502,True,0.359322
vf_04d0d58268c4,feature_squeezing,0.05,False,True,3,0.31099198,30,0.43169305,0.12070107,0.31099198,True,0.43169305,0.37231645,0.0593766,True,0.43169305,0.30140641,0.13028663,True,0.356423
